8192	8217,1617,10090,7944,7541,1797,1845,8115,6206,1742
1	253,278,5276,5642,4760,4268,194,2298,5588,569
4098	3359,3143,1146,2633,8987,9012,8917,2886,2552,3133
2051	8300,8258,1012,7451,899,7988,985,1786,1496,1742
4100	1263,7578,2508,1564,2037,6206,7929,1929,1083,8273
342	322,2423,5214,753,109,5028,4582,731,777,4414
8198	2017,2079,479,4100,1492,1786,7670,8294,7772,1010
4103	6880,6215,6313,6426,3935,6277,5872,6370,3555,4090
7297	3693,5777,5214,545,6084,97,5671,373,2943,1
9	4436,402,4507,4492,674,6008,7674,4988,4690,4534
4106	9106,1244,8981,3169,1870,9389,9749,3273,8430,9568
2059	7541,1693,10153,989,1976,7944,1877,7789,8101,1739
5600	252,5534,4792,5662,5005,5151,153,4981,8,4988
8194	8021,1367,4389,7897,524,1017,7834,2020,1802,8129
6158	3216,3927,73,1330,4422,4336,4092,1783,4326,6586
4781	979,2802,2234,7566,2149,1031,8147,1657,7828,1156
2064	7940,7510,7821,6206,7696,7950,7991,899,4036,1531
4114	9244,1716,7039,6021,2248,2186,6426,1362,6627,7504
8212	7760,7789,5152,1809,7680,1158,8021,8283,8150,479
4118	3559,4206,3940,4288,3634,9351,6395,7039,2186,7310
8215	7944,1657,7655,6251,1156,7880,1263,1212,1786,448
5124	5588,4859,275,2174,84,7297,133,580,390,5005
26	544,1608,3983,439,825,5260,4414,586,326,402
7855	7991,7539,1197,6336,1752,7304,8235,2059,1857,7555
2076	7841,1197,7540,2145,4036,1918,7871,7815,7789,1366
5466	5055,2943,4818,541,431,2176,5600,5671,97,4961
6174	6304,893,4194,1458,6043,3744,6397,5507,6269,347
5	186,198,5087,4489,167,5413,5450,194,258,5538
6177	1783,1888,3874,6837,1975,4222,4208,1808,734,7421
191	1608,643,836,5639,424,4482,5626,5158,396,7674
347	7423,4204,2356,6804,3742,755,3881,7317,4206,4375
8228	1467,2846,1492,7614,1708,4769,7988,8045,7751,7821
2086	8273,5107,8247,8117,938,7667,1366,7745,2017,556
7980	7508,4579,5441,9917,901,2013,7778,1797,6294,5024
40	5783,5802,5534,5401,111,7674,5201,6062,860,2322
8233	8129,7651,5426,2149,8258,1451,1653,1212,8117,1263
43	5181,373,5281,5092,580,685,5662,252,2302,154
44	60,562,5653,753,5254,5205,4436,2174,6685,270
7780	5426,7940,8021,7454,7668,7653,7957,1170,6206,8300
4142	3936,6158,1557,6405,3752,3535,5849,3935,4878,3791
2095	5426,1059,1426,7778,7304,4538,7680,1388,7644,1918
6192	1713,6118,2730,6850,3573,1046,3630,1051,3740,7071
4145	6429,6027,1540,3809,5968,3739,5883,4090,2248,6837
4149	6340,3698,8477,3791,1975,734,1783,6720,5947,6426
8247	7672,4072,7984,7541,7930,2095,6389,10011,31,8055
6202	1557,6395,6600,6053,6406,6419,6798,6158,1362,8477
2107	7584,7930,3763,7730,10090,7969,7897,2051,7549,4848
60	146,342,2262,9,5459,4492,5092,149,325,300
6154	383,3905,5889,347,3893,4118,4114,3808,3533,5990
6206	7425,985,1353,7969,1238,8083,1082,971,1170,997
6837	1046,1402,6395,7504,6770,4345,3698,6478,6400,3494
4160	2943,148,746,742,4683,5777,5276,278,4961,760
2113	9445,5371,452,1848,3312,1307,2849,3068,2899,3296
8258	7451,7828,2013,1327,4445,2047,2147,7539,7738,8266
7179	1763,9250,4098,1252,8764,2378,3360,1417,9445,9165
971	2059,498,1617,4100,5441,7465,7494,7651,7513,7776
6215	6313,2217,6363,1931,6304,6398,4375,3824,3588,3231
4924	289,4830,559,4818,5181,4489,5788,2200,342,643
73	6202,6397,1546,6850,4721,1476,6600,3927,3555,3784
8266	263,8043,1992,4781,7747,8283,2137,6185,7985,8214
7863	1657,8258,2149,5152,9917,7304,8139,7760,479,7543
76	1139,4092,4425,4294,1028,3961,3936,3652,3782,4461
889	9654,9793,3080,9497,3271,8407,2782,2505,9144,9203
6224	6617,3494,4345,1481,6021,6835,2251,4222,6016,1424
8273	8283,2017,524,8158,8179,7566,2037,985,8194,556
82	7734,541,720,9932,845,270,4760,2267,3869,554
7425	7661,7780,7871,8033,7613,1918,7543,7563,7712,8055
84	2176,6960,252,97,4792,674,419,831,58,4859
4110	7061,3154,6990,3808,4336,3216,1370,1231,1996,3863
6231	3494,6674,6065,1481,4082,3535,6419,3986,6400,4222
2137	7841,1461,7776,8010,235,5682,1366,7725,7555,7772
91	5723,133,342,4409,2943,5488,5254,5166,298,427
4188	1931,4110,2212,6098,6383,6470,6770,6282,7340,3555
6240	5922,3821,6617,3782,6053,6154,6637,2993,5990,4090
97	4600,4489,10017,5296,5715,5026,4924,5260,777,3869
4194	3652,2386,6871,4422,4294,7421,6529,6085,3740,3874
2147	7613,7758,2051,1327,7780,1262,7540,7817,2508,7602
2149	1976,5425,1992,1897,4848,2846,7751,4100,1531,9917
8294	330,4848,1742,1929,1897,1059,1012,5398,7454,8115
103	2231,5102,5703,4406,845,82,252,7674,5755,5662
1724	1004,2020,7304,1327,7863,8212,3763,948,8158,990
2322	4659,158,121,5433,4414,5013,123,1608,860,354
6251	263,5585,8117,7944,7760,8043,8266,1769,7563,2013
4204	1713,4341,3686,5816,4188,3533,4078,1975,6617,3767
109	717,253,146,5158,1410,2262,5802,2423,167,649
4206	1481,3655,6587,4878,5889,3791,3589,4090,3788,5767
6255	7504,4194,3752,6053,5947,4110,3961,2212,6366,1286
4208	1139,4341,9784,7310,6558,2335,7504,3555,3744,3800
360	232,743,2226,5623,270,3693,6411,5130,5131,307
4213	755,4326,4110,4337,6406,1713,3655,4375,4078,4721
2409	8677,2502,1163,1331,1148,1848,3023,1961,882,7214
120	5808,3935,6111,3746,3573,3874,2844,1046,5927,6529
3424	9351,6154,755,6627,6313,3824,3739,383,6025,1816
5682	2079,1105,1324,2183,7584,1857,1682,7991,7644,7841
123	4634,4988,4985,121,396,4760,377,270,5249,4436
6268	347,3548,3997,1888,6449,3940,6111,1996,2993,5957
8317	8413,9143,2552,2362,3383,8595,2968,8610,9605,8673
4222	4000,1816,3961,3951,4323,6773,6990,1485,3482,3559
4223	4461,1476,3533,6429,3986,5872,6529,1051,4145,4340
2176	1608,366,784,4900,4859,176,1410,84,4489,5232
4227	2207,6268,2217,6215,6637,4461,918,9244,3708,1424
4228	2217,6370,1996,3698,6269,6446,6445,6408,5889,1319
6277	76,6529,6770,3767,3562,6470,3788,1943,7071,6586
2183	7772,1877,7540,7432,1831,8212,4848,7721,1492,3073
6282	6085,3581,5872,1841,6914,1975,3614,6140,4341,3594
3778	1977,3029,2439,8815,1136,2555,2761,2542,8987,2691
4239	1557,3900,6491,5990,6269,1713,3609,3482,4206,3535
146	720,5336,275,5087,649,580,5296,643,7297,5617
4243	5816,6011,2270,3746,1591,3819,4288,6313,2356,1028
8340	9497,1146,2409,8430,3498,1357,2825,2749,8317,3018
149	22,559,4409,4968,146,323,722,5314,4600,5538
6294	7560,1531,7966,1752,8294,7575,5682,9895,7841,2079
8217	1353,7549,7721,6336,8266,1708,7984,1083,943,7541
8344	2462,9976,7111,2899,2470,2707,9648,1429,2934,3402
153	5783,5226,5698,4500,825,194,43,4845,5488,4596
154	5276,396,124,5,5802,545,1410,4482,5564,1851
6299	3990,1931,4515,6770,3589,4092,1144,7371,1424,4340
1451	8192,7696,7815,997,1845,7712,8115,1992,4769,2183
3824	3708,1943,4222,6140,6395,3881,1139,3548,2248,5947
158	177,5028,2226,5413,5723,237,5433,572,3693,4818
4255	3588,6268,3860,6720,1975,1373,6990,5968,9784,3542
6304	6177,7050,3961,6011,6990,5990,4255,2251,4294,3377
2212	1286,1601,3742,4228,3444,4294,6720,6357,2217,1402
165	580,322,2191,2226,674,10017,5639,58,834,726
167	4993,149,278,5281,165,5206,5671,5276,742,580
6313	5872,6363,5990,5889,6025,5993,9351,3581,1370,5947
8362	7214,3273,6742,9605,1357,2470,416,9440,2881,9015
4268	326,4845,5072,2176,121,5254,4659,831,5131,5777
2418	8273,1189,4100,7897,7988,7543,8300,7613,1690,7991
6318	3961,3630,1888,3346,1485,4118,3641,7421,4206,8477
3961	4515,5880,3614,6043,3785,3888,4319,1636,3800,1859
176	360,836,4841,5026,5748,5564,5013,146,6960,58
177	5703,5281,2203,5488,5639,307,6647,5564,580,618
8370	1952,974,935,3279,9440,3360,2866,3351,9687,2550
7539	7437,7758,1769,8215,1353,6294,4036,7653,4389,2149
8373	9839,9249,3260,1757,3331,2832,3404,8370,9937,1307
2231	806,1608,121,3871,325,4900,4910,5131,586,3576
4280	8179,7479,7930,7776,1531,948,2097,8064,8117,7948
7540	1324,1570,8258,1197,7930,971,7855,4519,1845,2147
186	4436,742,3869,82,4600,7674,562,6062,1410,5028
