1	3.35424	26.0684
2	4.48265	29.764
3	1.00057	14.1352
4	3.18569	1.08655
5	1.87212	21.1694
6	1.09458	6.3548
7	1.17941	1.04192
8	1	461680
9	4.05764	1.28614
10	1.00419	148.916
11	1.0004	9.70243
12	1.66982	27.9467
13	1.40381	4.23994
14	7.21416	2.38663
15	1	1.23454
16	1.85235	148.55
17	1.00007	9.80293
18	1.65352	4.50467
19	1.01266	2.07792
20	4.7501	1.12955
21	1.75537	2.26203
22	2.75352	6.30645
23	7.21374	7.62097
24	4.13571	3.28977
25	4.78162	3.22308
26	1.11868	1.11501
27	3.75355	1.05974
28	1.57674	1.79476
29	1.60996	1.35312
30	3.20494	2.82082
31	11.8451	7.64769
32	1	3.84281
33	1.00996	75.02
34	1.29609	2.1784
35	1.02274	1.51734
36	10.8306	1.04812
37	1.55763	1.14416
